Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   Egz    
Robertas            Baranauskas         6      9      3      10     10     9      3      6      4      9      4      
Orintas             Petrauskas          1      6      5      2      8      6      3      9      7      10     2      
Vitoldas            Petrauskas          8      3      2      6      9      10     2      5      7      4      10     
Pilypas             Petrauskas          3      5      1      10     7      2      1      5      6      7      2      
Melchioras          Sakalauskas         7      6      8      8      4      9      6      7      1      2      2      
Viktorijus          Butkus              4      6      2      2      7      3      4      6      3      5      2      
Joanas              zukauskas           6      8      8      4      9      1      4      10     4      2      10     
Liubomiras          Vasiliauskas        3      6      1      6      3      4      9      9      4      7      2      
Radvila             Vasiliauskas        8      7      5      3      6      3      1      3      4      3      7      
Ovidijus            Kazlaukas           5      8      2      9      1      10     6      8      6      7      1      
Vasilijus           Butkus              7      4      2      8      1      8      2      10     6      7      7      
Ferdinandas         Vasiliauskas        5      4      8      6      3      3      7      2      6      4      4      
Liudvigas           Urbonas             1      10     7      6      6      1      5      4      5      2      1      
Teisutis            Pocius              9      5      8      6      2      3      6      8      3      10     1      
azuolas             Vasiliauskas        6      1      3      3      9      2      5      7      2      6      1      
Mantautas           Baranauskas         4      5      9      1      7      2      9      9      4      10     7      
Venantas            Jankauskas          10     4      7      8      6      9      5      7      6      5      10     
Jankelis            Pocius              10     4      6      7      9      5      2      4      10     2      8      
Karlas              Kazlaukas           10     6      9      5      9      7      5      5      7      8      1      
Sirvydas            zukauskas           6      5      8      10     2      1      9      2      7      7      9      
Eidvydas            Petrauskas          6      3      8      7      7      2      5      5      7      5      5      
Algirdas            Butkus              1      4      1      3      2      7      8      9      7      6      10     
Inocentas           Paulauskas          9      7      5      2      1      6      3      5      5      8      1      
Piotras             Paulauskas          6      5      3      2      9      6      2      10     5      3      2      
Narvydas            Urbonas             1      1      5      9      4      4      7      3      10     5      8      
Brunas              Stankevicius        5      6      9      8      5      3      6      2      7      8      2      
Vygandas            Paulauskas          3      8      2      10     1      5      2      10     6      2      2      
Venantas            zukauskas           5      7      6      2      3      2      6      6      7      7      5      
Kazimieras          Vasiliauskas        9      9      1      4      9      3      3      8      3      10     2      
Vyturys             Stankevicius        2      3      8      4      5      5      5      6      5      7      9      
Andzejus            Paulauskas          8      4      4      2      3      7      2      2      5      4      2      
Dionizas            Paulauskas          1      1      3      6      4      8      9      9      7      2      9      
Kastantas           zukauskas           1      2      3      10     4      4      10     6      1      6      10     
Dimitrijus          Paulauskas          7      8      3      5      6      1      6      7      9      5      2      
Rolandas            Vasiliauskas        1      7      2      3      4      10     5      6      10     7      4      
Ruslanas            Jankauskas          8      10     4      4      4      8      9      5      8      4      3      
Raimundas           Jankauskas          4      10     5      5      1      2      2      8      2      8      6      
Pilypas             Kateiva             4      8      7      5      5      10     2      4      5      3      9      
Valerijonas         Jankauskas          4      9      3      2      5      3      8      6      5      3      7      
Viktorinas          Kazlaukas           6      1      8      1      6      2      7      10     3      5      7      
Rimtas              Kavaliauskas        9      4      6      5      6      10     9      9      6      6      6      
Vitalius            Baranauskas         4      8      7      8      6      9      2      10     6      1      3      
Normanas            Kavaliauskas        8      8      3      4      5      6      7      3      7      2      4      
Vykintas            Vasiliauskas        8      10     4      3      9      3      5      7      4      4      2      
Mangirdas           Paulauskas          5      10     5      6      7      9      2      4      9      6      1      
Judrius             Butkus              2      9      4      8      3      9      1      5      2      7      9      
Ricardas            Vasiliauskas        10     8      7      4      9      10     2      3      9      7      1      
Steponas            Baranauskas         6      2      2      6      6      4      10     4      5      7      2      
Kirilas             Urbonas             8      10     10     3      1      7      10     9      7      7      8      
Merkys              Sakalauskas         7      9      5      8      7      2      5      2      2      2      5      
Ainius              Urbonas             7      1      3      6      2      7      4      5      7      3      1      
Gavrilas            Petrauskas          10     9      3      4      5      2      10     6      10     3      3      
Vaclovas            Petrauskas          7      7      3      4      1      10     7      10     3      4      3      
Girvydas            Urbonas             8      8      2      10     1      7      7      9      4      9      10     
Bartvydas           Sakalauskas         8      6      1      9      6      10     6      3      10     1      9      
Felicijonas         Petrauskas          3      6      8      1      3      7      9      6      7      8      9      
Rikardas            Petrauskas          2      9      9      5      6      1      2      9      7      9      10     
Bartvydas           Baranauskas         5      3      7      2      3      5      9      1      9      4      2      
Alenas              zukauskas           4      2      4      10     1      8      8      9      6      7      1      
Georgijus           Urbonas             8      2      6      9      5      10     7      1      7      3      2      
Vitalis             Sakalauskas         4      6      1      6      8      4      9      6      1      8      3      
Albertas            Kavaliauskas        9      1      8      9      1      1      2      9      5      7      7      
Andrius             zukauskas           6      4      7      1      5      7      7      6      9      1      9      
Gasparas            Paulauskas          4      8      1      4      7      5      7      5      9      7      10     
Kirilas             Kavaliauskas        4      8      8      9      9      2      5      10     6      10     1      
Dovydas             Kateiva             5      6      9      10     7      2      5      8      3      3      4      
Tautginas           Vasiliauskas        6      3      2      7      6      1      1      2      4      5      7      
Rokas               Kateiva             5      4      6      1      8      5      1      2      3      6      9      
Audrius             Sakalauskas         5      10     8      5      10     1      1      9      3      1      10     
Tiberijus           Urbonas             5      3      10     3      3      3      5      4      8      1      2      
Ugnius              Stankevicius        2      5      7      4      3      10     1      1      10     3      3      
Balys               Kateiva             3      5      10     2      6      6      5      6      6      2      4      
Platonas            Paulauskas          3      6      10     5      3      7      5      9      7      3      4      
Dalius              Vasiliauskas        2      6      6      3      4      4      7      3      6      6      3      
zygimantas          Petrauskas          5      6      9      9      3      5      7      10     7      3      7      
Mykolas             Butkus              7      1      6      5      8      4      1      3      2      2      9      
Santaras            Paulauskas          6      7      9      2      10     2      10     2      5      8      2      
Mingaudas           Paulauskas          4      7      5      10     5      9      2      4      7      3      8      
Jurijus             Urbonas             9      2      6      7      6      9      4      7      1      10     5      
Drasutis            Butkus              6      5      7      7      7      7      3      3      7      5      3      
Kalnius             Vasiliauskas        5      3      5      2      9      9      7      7      7      9      10     
Nikodemas           Kazlaukas           3      10     10     7      2      5      6      3      7      6      3      
Joanas              Pocius              9      3      6      8      10     9      8      1      7      2      4      
Adolis              Kavaliauskas        9      1      8      5      5      10     6      10     8      9      5      
zygimantas          Urbonas             8      3      4      2      5      6      3      8      3      6      4      
Filipas             Stankevicius        1      6      8      4      7      4      10     2      4      2      6      
Rafailas            Jankauskas          9      9      2      2      6      6      1      2      6      4      2      
Dovilis             Petrauskas          5      2      4      1      6      3      2      5      1      1      3      
Vladislavas         zukauskas           7      9      8      1      3      1      3      9      7      2      4      
Klementas           Butkus              5      10     1      9      4      5      2      4      4      8      10     
Serafinas           Sakalauskas         10     8      5      9      7      9      3      1      7      3      2      
Gracijonas          Kateiva             3      10     10     1      8      5      1      5      6      7      6      
Voicechas           Pocius              4      8      7      4      1      1      9      1      6      6      1      
Nazaras             Sakalauskas         3      7      6      4      6      9      6      8      9      1      6      
Mecislovas          Sakalauskas         2      6      10     3      9      4      5      3      10     6      9      
Marcelinas          Vasiliauskas        9      5      2      3      5      2      1      6      1      6      5      
Venjaminas          Pocius              10     2      6      8      4      9      4      7      2      4      5      
Lauras              Sakalauskas         5      10     6      10     5      10     8      5      1      6      6      
Mecislovas          Stankevicius        5      4      10     5      4      4      5      1      4      8      5      
Dalius              zukauskas           4      1      7      7      6      5      4      10     3      10     7      
Emilijus            Vasiliauskas        6      2      7      3      9      5      1      10     9      4      4      
Vacius              zukauskas           4      2      1      6      7      5      5      10     10     4      5      
Jegoras             Jankauskas          3      4      4      4      6      2      1      3      7      8      10     
Salvijus            Jankauskas          8      4      9      6      1      8      9      4      1      9      4      
Gailimantas         Paulauskas          8      3      8      4      6      2      5      4      8      3      2      
Genadijus           Kazlaukas           5      2      7      3      7      9      7      3      5      8      8      
Gerutis             Kateiva             1      3      4      10     9      6      7      9      10     1      8      
Valentinas          Paulauskas          7      10     5      4      10     5      10     6      10     8      7      
Urbonas             Stankevicius        1      8      2      2      10     1      3      4      4      1      9      
ciogintas           Sakalauskas         4      9      8      2      10     2      7      3      6      3      4      
Orintas             Kateiva             3      3      9      5      3      4      3      8      4      6      4      
Rubenas             Pocius              4      5      6      4      9      1      8      9      3      10     1      
Arimantas           Baranauskas         5      8      3      3      7      9      5      6      5      3      2      
Vitalis             Baranauskas         9      9      8      4      4      2      9      10     7      4      3      
svitrigaila         Paulauskas          1      1      2      9      3      6      3      7      8      2      10     
Rimtautas           Paulauskas          9      9      7      3      3      10     7      9      6      5      1      
Dominykas           Vasiliauskas        5      8      6      5      10     8      9      2      10     8      7      
Jurijus             Pocius              9      3      8      9      4      9      9      2      2      8      6      
Almantas            Baranauskas         9      4      1      4      4      4      5      4      8      2      3      
Motiejus            Kavaliauskas        8      9      8      8      5      2      7      6      8      6      7      
Valdemaras          Kazlaukas           5      3      9      1      7      5      8      9      5      7      1      
Vladislavas         Pocius              1      4      2      6      8      1      8      3      7      6      5      
Robertas            Kateiva             5      7      7      3      9      4      9      3      9      9      1      
Demetrijus          Stankevicius        3      1      6      7      1      10     2      10     8      3      10     
Gracijus            zukauskas           10     1      3      2      6      3      5      5      7      5      2      
Vilgaudas           Petrauskas          3      10     4      5      4      8      10     4      4      5      4      
Kiprijonas          Petrauskas          9      9      10     10     3      1      4      6      7      2      4      
Lozorius            Baranauskas         5      7      3      5      8      3      4      4      2      8      2      
Ignacas             Baranauskas         2      9      1      2      3      4      2      4      4      10     8      
Vidas               Butkus              2      2      5      8      7      10     3      8      9      5      9      
Boguslavas          Kazlaukas           7      10     1      1      5      6      9      7      6      1      8      
Egidijus            Kavaliauskas        1      1      6      1      7      1      5      7      6      6      5      
Gracijonas          Kazlaukas           3      5      8      2      9      3      10     10     1      1      7      
Akvilinas           Pocius              9      8      5      8      5      5      7      8      4      9      5      
Audronius           zukauskas           6      2      7      5      10     7      4      8      6      2      5      
Danila              Butkus              7      3      8      6      6      6      3      9      4      7      1      
Merunas             Petrauskas          8      5      10     1      2      1      5      5      2      2      8      
Nazaras             Kazlaukas           5      6      3      3      9      9      8      3      4      5      2      
Vilnius             Sakalauskas         3      5      8      10     4      8      4      10     9      6      2      
Damijonas           Petrauskas          9      6      2      7      6      7      2      10     2      3      6      
Oskaras             Kateiva             4      3      4      4      2      1      6      5      2      1      2      
Salvijus            Kavaliauskas        3      5      1      5      7      6      9      9      1      10     5      
Tauras              zukauskas           5      4      8      7      8      4      7      4      4      4      1      
Timas               Jankauskas          5      4      5      2      9      1      1      4      10     8      9      
Mindaugas           zukauskas           1      10     4      6      6      10     8      4      7      6      9      
Gasparas            zukauskas           4      9      8      8      9      7      6      8      10     6      7      
Zinovijus           Sakalauskas         4      1      6      5      5      7      7      6      9      5      4      
Vasaris             Kateiva             1      2      2      4      4      3      3      7      9      3      6      
Liubartas           Kateiva             9      2      1      3      3      1      5      5      1      10     7      
Izidorius           Urbonas             1      8      3      5      3      1      1      6      3      7      1      
Andriejus           Stankevicius        10     2      6      9      9      6      6      1      1      1      3      
Jovaras             Stankevicius        5      6      2      1      5      5      7      7      4      8      1      
Gordejus            Kavaliauskas        5      7      7      10     6      10     10     5      8      6      9      
Tiberijus           zukauskas           4      3      10     4      1      1      1      3      3      4      1      
Melchioras          Baranauskas         6      3      5      10     3      7      8      9      4      4      10     
Raimundas           Kateiva             3      7      9      6      2      3      8      7      3      9      3      
Mantvydas           Pocius              1      10     9      8      8      2      4      4      3      9      10     
Adolfas             Pocius              1      8      5      8      5      1      4      1      5      4      9      
Rikardas            Butkus              9      5      1      9      6      10     5      5      10     8      9      
zybartas            Sakalauskas         1      1      3      2      7      7      10     1      7      6      9      
Zakarijus           Kavaliauskas        2      1      9      5      2      4      2      3      3      7      6      
Zacharijus          Kazlaukas           5      4      5      6      10     6      5      9      10     2      5      
Skaistis            Stankevicius        9      1      10     3      5      6      7      5      4      10     7      
Girmantas           Urbonas             10     8      9      6      7      8      8      8      8      2      1      
Herkus              Paulauskas          4      8      4      10     1      1      1      8      7      6      7      
Nojus               Pocius              9      5      6      10     3      8      5      5      10     10     3      
Romas               Vasiliauskas        10     6      3      8      7      5      7      6      4      4      2      
Andreas             Baranauskas         8      1      2      1      7      8      4      9      2      2      2      
Narimantas          Baranauskas         7      3      10     8      4      9      3      10     7      6      9      
Milanas             Sakalauskas         9      7      3      6      5      2      6      8      10     5      6      
Valentas            Sakalauskas         3      1      2      7      8      8      5      4      3      5      8      
Lauris              Kazlaukas           8      10     8      1      1      7      4      4      10     10     7      
Sidas               Kavaliauskas        2      2      5      10     10     4      4      6      10     8      8      
Gotfridas           zukauskas           10     5      6      5      7      1      4      10     5      8      1      
Valentas            zukauskas           4      1      8      8      10     5      8      4      4      9      9      
Ferdinandas         Butkus              7      1      4      6      6      1      10     7      3      3      3      
Gitanas             Vasiliauskas        10     4      3      5      6      10     8      7      9      10     6      
Marijus             Kazlaukas           10     10     5      6      6      6      4      3      1      5      4      
ciogintas           Paulauskas          8      4      5      1      1      7      2      10     7      4      6      
Dainius             Paulauskas          8      6      4      2      9      9      6      2      3      9      10     
Girvydas            Pocius              9      7      9      10     1      4      6      9      5      9      7      
Erikas              Butkus              8      2      3      1      2      2      2      1      9      6      4      
Vaizgantas          Pocius              1      3      1      5      3      3      3      3      4      1      6      
Gerardas            Butkus              8      3      3      9      6      4      9      7      9      10     9      
Davidas             Sakalauskas         7      3      3      1      5      3      5      9      8      7      7      
Darius              Kavaliauskas        1      6      6      8      9      6      8      1      2      8      6      
zvaigzdzius         Sakalauskas         6      7      7      6      9      1      6      8      8      7      8      
Sigis               Vasiliauskas        2      4      9      3      6      3      1      6      9      1      9      
Albinas             Urbonas             10     1      1      7      9      4      6      6      5      9      9      
Edgaras             Petrauskas          10     8      9      8      4      5      2      6      3      9      10     
Vilhelmas           Jankauskas          10     4      6      9      3      9      3      4      7      6      3      
Benius              Baranauskas         4      2      9      10     6      7      1      9      8      3      9      
Saulius             Kazlaukas           2      2      5      1      6      10     2      2      4      9      8      
Jonas               Butkus              9      6      6      5      9      1      5      9      1      3      4      
Ambraziejus         Petrauskas          6      9      6      2      10     2      5      8      7      7      3      
Gotfridas           Kateiva             6      1      10     3      9      6      1      6      8      6      4      
Domas               Butkus              8      8      4      3      4      3      8      9      5      9      6      
Francas             Kateiva             6      6      8      4      4      6      9      6      3      8      5      
Rysardas            Kavaliauskas        10     8      4      9      9      5      8      2      1      4      4      
Audronius           Petrauskas          1      6      6      6      6      9      10     5      7      5      9      
Klevas              Sakalauskas         10     6      3      4      7      2      7      6      3      8      1      
Stasius             Kazlaukas           5      3      6      9      5      3      8      6      10     10     3      
Regimantas          zukauskas           8      10     6      6      4      8      3      1      8      6      7      
Valentas            Petrauskas          9      6      5      3      9      10     8      7      4      4      1      
Sonetas             Paulauskas          3      1      6      7      9      4      10     4      7      9      6      
Merkys              Vasiliauskas        1      3      3      6      10     5      6      8      6      5      2      
Naumas              Sakalauskas         4      2      3      6      8      8      6      7      9      1      6      
Eivydas             Kateiva             4      5      4      10     9      2      10     9      8      9      8      
Arkadijus           Kazlaukas           7      3      8      9      10     6      9      5      10     10     5      
Kipras              Urbonas             1      1      8      1      4      2      7      6      6      10     6      
Gedvilas            Baranauskas         8      3      8      10     4      6      10     10     4      9      10     
Vylius              Vasiliauskas        3      2      1      7      6      1      10     6      2      4      5      
Audrys              Kateiva             5      8      5      2      1      1      8      5      8      3      1      
zydrunas            Sakalauskas         5      4      9      6      10     1      7      2      3      3      7      
Pilenas             Pocius              9      8      2      9      4      10     8      4      6      5      9      
Jacekas             zukauskas           8      9      9      2      8      7      1      8      1      3      2      
Vydas               Stankevicius        7      2      6      4      9      3      7      4      8      5      6      
Kamilis             Butkus              1      2      10     7      2      2      9      7      10     5      7      
Nikodemas           zukauskas           8      6      7      6      10     6      8      2      5      4      6      
Grigalius           Butkus              4      7      5      4      1      3      10     9      3      3      7      
Girmantas           Butkus              2      1      9      4      3      7      9      8      2      9      5      
Georgijus           Paulauskas          3      7      3      6      2      4      9      6      1      5      3      
Sava                Kavaliauskas        1      4      2      7      6      5      10     9      10     4      7      
Liudvikas           Sakalauskas         10     6      10     10     9      10     6      1      6      8      9      
Bronislovas         Pocius              2      5      10     7      9      4      9      8      8      1      7      
